,Date,exog,load
0,2023-01-29,22.969444444444445,1580.177777777778
1,2023-02-05,24.509523809523813,1767.392857142857
2,2023-02-12,25.15714285714285,1762.9964285714286
3,2023-02-19,25.45119047619048,1892.9511904761905
4,2023-02-26,24.008333333333333,1735.5345238095238
5,2023-03-05,24.89642857142857,1921.4059523809524
6,2023-03-12,23.44047619047619,1408.0761904761905
7,2023-03-19,22.335714285714285,1231.3428571428572
8,2023-03-26,23.414285714285715,1583.5428571428572
9,2023-04-02,24.88095238095238,1633.602380952381
10,2023-04-09,22.679761904761904,1303.5726190476191
11,2023-04-16,23.642857142857142,1386.1535714285717
12,2023-04-23,22.517857142857142,1276.513095238095
13,2023-04-30,22.928571428571427,1445.4761904761904
14,2023-05-07,23.33690476190476,1683.8321428571428
15,2023-05-14,23.25595238095238,1550.4964285714286
16,2023-05-21,22.425,1617.2559523809523
17,2023-05-28,21.547619047619047,1519.2857142857142
18,2023-06-04,22.520238095238096,1358.3428571428572
19,2023-06-11,22.01904761904762,1462.3880952380953
20,2023-06-18,22.84047619047619,1285.1238095238095
21,2023-06-25,20.68095238095238,1454.632142857143
22,2023-07-02,21.103571428571428,1522.747619047619
23,2023-07-09,21.31428571428572,1509.020238095238
24,2023-07-16,23.667857142857144,1371.7880952380951
25,2023-07-23,22.17738095238096,1334.457142857143
26,2023-07-30,22.75952380952381,1536.9511904761905
27,2023-08-06,23.823809523809523,1672.4130952380954
28,2023-08-13,24.823809523809523,1670.2988095238095
29,2023-08-20,23.43095238095238,1457.475
30,2023-08-27,25.83452380952381,1291.2583333333332
31,2023-09-03,24.58571428571428,1423.0440476190477
32,2023-09-10,25.636904761904763,1861.5559523809525
33,2023-09-17,25.794047619047618,1676.1976190476191
34,2023-09-24,28.696428571428573,1951.054761904762
35,2023-10-01,27.767857142857142,1574.420238095238
36,2023-10-08,25.69404761904762,1393.4559523809523
37,2023-10-15,27.569642857142856,1860.6458333333333
38,2023-10-22,27.80714285714286,2107.254761904762
39,2023-10-29,26.33214285714286,1609.0970238095238
40,2023-11-05,25.791666666666668,1778.446428571429
41,2023-11-12,28.245238095238093,2230.6285714285714
42,2023-11-19,29.3904761904762,2035.544047619048
43,2023-11-26,24.904761904761905,1540.854761904762
44,2023-12-03,24.726190476190474,1431.1
45,2023-12-10,26.61309523809524,2013.288095238096
46,2023-12-17,27.13571428571429,2043.032142857143
47,2023-12-24,24.310714285714283,1482.990476190476
48,2023-12-31,25.41190476190476,1490.2345238095238
49,2024-01-07,22.633333333333333,1200.240476190476
50,2024-01-14,23.460714285714285,1534.384523809524
51,2024-01-21,26.591666666666665,1944.0690476190475
52,2024-01-28,23.60595238095238,1397.260714285714
53,2024-02-04,23.746428571428574,1412.2988095238095
54,2024-02-11,22.932142857142857,1138.2714285714287
55,2024-02-18,24.63571428571429,1754.815476190476
56,2024-02-25,23.52142857142857,1513.2083333333333
57,2024-03-03,25.767857142857142,1806.047619047619
58,2024-03-10,24.945238095238096,1642.4803571428572
59,2024-03-17,25.722619047619045,1470.1535714285717
60,2024-03-24,24.93154761904762,1508.3125
61,2024-03-31,23.719047619047625,1277.45
62,2024-04-07,23.986904761904764,1315.3166666666668
63,2024-04-14,23.87738095238096,1350.5630952380952
64,2024-04-21,24.795238095238098,1632.4488095238096
65,2024-04-28,24.92142857142857,1684.2833333333333
66,2024-05-05,25.3904761904762,1743.8833333333334
67,2024-05-12,23.835714285714285,1637.415476190476
68,2024-05-19,24.450000000000003,1595.5523809523809
69,2024-05-26,23.73333333333333,1484.7416666666668
70,2024-06-02,22.098809523809525,1430.545238095238
71,2024-06-09,21.84583333333333,1455.1095238095238
72,2024-06-16,22.26071428571429,1532.5785714285714
73,2024-06-23,22.195238095238096,1457.7660714285714
74,2024-06-30,23.281547619047625,1486.917261904762
75,2024-07-07,22.48452380952381,1517.595238095238
76,2024-07-14,23.455357142857142,1552.0785714285714
77,2024-07-21,21.525,1613.0988095238097
78,2024-07-28,22.029761904761905,1619.2595238095237
79,2024-08-04,22.526190476190475,1473.303571428571
80,2024-08-11,22.76547619047619,1664.9250000000002
81,2024-08-18,24.63095238095238,1709.3071428571427
82,2024-08-25,26.13809523809524,1784.6916666666668
83,2024-09-01,24.289285714285715,1802.234523809524
84,2024-09-08,27.419047619047618,1853.9142857142856
85,2024-09-15,26.55595238095238,1944.157142857143
86,2024-09-22,28.133333333333333,1867.95
87,2024-09-29,29.12619047619048,1870.4738095238088
88,2024-10-06,29.89523809523809,2044.0047619047616
89,2024-10-13,26.73333333333333,1429.309523809524
90,2024-10-20,22.558333333333334,1127.0083333333332
91,2024-10-27,24.30238095238096,1296.5047619047618
92,2024-11-03,22.98452380952381,1190.729761904762
93,2024-11-10,22.65,1266.7630952380953
94,2024-11-17,22.02142857142857,1132.885714285714
95,2024-11-24,24.45952380952381,1669.9
96,2024-12-01,24.511904761904763,1531.675
97,2024-12-08,25.701785714285712,1733.8535714285715
98,2024-12-15,24.87261904761905,1602.9880952380952
99,2024-12-22,23.78214285714286,1494.1035714285713
100,2024-12-29,23.14761904761905,1354.070238095238
101,2025-01-05,24.02261904761905,1450.6130952380952
102,2025-01-12,23.04404761904762,1394.5511904761904
103,2025-01-19,22.30952380952381,1472.6309523809523
104,2025-01-26,25.07583333333333,2000.155
